precio,precio_viejo,modelo,marca,precio_nuevo
14499,,Laptop Acer TravelMate P645-M-5664:,Acer,
5699,,Laptop HP 14-am005la:,Hewlett Packard,
7699,,Laptop Acer Aspire E5-421-42EN:,Acer,
8899,,Laptop Acer TravelMate TMP248-M-35WJ:,Acer,
14799,,Laptop DELL Latitude E3460:,DELL,
10299,,Laptop DELL Inspiron 15-3558:,DELL,
11599,,Laptop Acer Aspire E5-553-1786:,Acer,
11999,,Laptop DELL Latitude 14 5450:,DELL,
12399,,Laptop DELL Inspiron 15-3558:,DELL,
15499,,Laptop HP 250 G5:,Hewlett Packard,
5999,,Laptop Acer Aspire ES1-421-2675:,Acer,
5999,,Laptop Acer Aspire E5-473-C1B5:,Acer,
9799,,Laptop Acer TravelMate TMP248-M-C811:,Acer,
6399,,Laptop Lenovo Ideapad 300-14IBR:,Lenovo,
20399,,Laptop HP EliteDesk EliteDesk 705 G2:,Hewlett Packard,
9299,,Laptop DELL Inspiron 15-3558:,DELL,
12099,,Laptop Acer Aspire F5-573-50J8:,Acer,
22199,,Laptop HP ProBook 640 G2:,Hewlett Packard,
8499,,Laptop ASUS X540SA:,ASUS,
22999,,Laptop Lenovo Ideapad Y700-15ISK:,Lenovo,
20199,,Laptop HP ProBook 640:,Hewlett Packard,
25799,,Laptop HP EliteBook 840 G3:,Hewlett Packard,
7999,,Laptop Acer Aspire ES1-571-39SM:,Acer,
6099,,Laptop Acer Aspire E5-473-C7W7:,Acer,
17399,,Laptop Lenovo ThinkPad T460P:,Lenovo,
6399,,Laptop Lenovo Ideapad G40-45:,Lenovo,
6099,,Laptop Lenovo Ideapad IP 110-15ACL:,Lenovo,
12799,,Laptop DELL Inspiron 15 3558:,DELL,
20099,,Laptop Lenovo Ideapad Y700-15ISK:,Lenovo,
22599,,Laptop DELL Latitude 14-5470:,DELL,
6099,,Laptop Acer Aspire E5-473-C8A3:,Acer,
6199,,Laptop Lenovo Ideapad G40-45:,Lenovo,
16499,,Laptop Acer TravelMate TMP278-MG-5952:,Acer,
7899,,Laptop Lenovo Ideapad 110-15ACL:,Lenovo,
11899,,Laptop DELL Inspiron 14-3443:,DELL,
18899,,Laptop Lenovo ThinkPad T460:,Lenovo,
8999,,Laptop ASUS x 540SA:,ASUS,
30099,,Laptop HP Elitebook 840 G3:,Hewlett Packard,
18299,,Laptop Lenovo ThinkPad T440P:,Lenovo,
